university,department_code,course_number,title,description,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal
Rensselaer Polytechnic Institute,ASTR,1960,Topics in Astronomy and Astrophysics,,False,False,False,False
Rensselaer Polytechnic Institute,ASTR,2050,Introductory Astronomy and Astrophysics,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6430,Topics in Deep Listening,,False,False,False,False
Rensselaer Polytechnic Institute,ASTR,4120,Observational Astronomy,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6110,Electronic Arts Overview,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6640,Science Fictions,,False,False,False,False
Rensselaer Polytechnic Institute,ASTR,4240,Gravitation and Cosmology,,False,False,False,False
Rensselaer Polytechnic Institute,ASTR,4900,Astrophysics Undergraduate Seminar,,False,False,False,False
Rensselaer Polytechnic Institute,ASTR,4940,Special Projects in Astronomy,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6940,Studies in Electronic Arts,,False,False,False,False
Rensselaer Polytechnic Institute,ASTR,6250,Interstellar Medium,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,6990,Master’s Thesis,,False,False,False,False
Rensselaer Polytechnic Institute,ASTR,2120,Earth and Sky,,False,False,False,False
Rensselaer Polytechnic Institute,ASTR,2940,Special Projects in Astronomy,,False,False,False,False
Rensselaer Polytechnic Institute,ASTR,6900,Astrophysics Seminar,,False,False,False,False
Rensselaer Polytechnic Institute,ASTR,6970,Professional Project,,False,False,False,False
Rensselaer Polytechnic Institute,BCBP,2900,Research in Biochemistry/Biophysics,,False,False,False,False
Rensselaer Polytechnic Institute,BCBP,2930,Out-of-Classroom Experience in Biochemistry/Biophysics,,False,False,False,False
Rensselaer Polytechnic Institute,BCBP,2940,Readings in Biochemistry/Biophysics,,False,False,False,False
Rensselaer Polytechnic Institute,BCBP,4310,Genetic Engineering,,False,False,False,False
